ID	text,image	text,image	text,image
2559	negative,negative	positive,neutral	negative,negative
2560	neutral,positive	neutral,positive	neutral,positive
2561	neutral,neutral	negative,negative	positive,neutral
2562	positive,neutral	negative,positive	neutral,neutral
2563	positive,positive	neutral,neutral	positive,neutral
2564	neutral,neutral	positive,positive	positive,positive
2565	neutral,negative	positive,positive	negative,positive
2566	negative,negative	neutral,neutral	neutral,neutral
2567	neutral,neutral	neutral,neutral	neutral,neutral
2568	neutral,neutral	neutral,neutral	negative,positive
2569	positive,positive	neutral,neutral	positive,positive
2570	neutral,neutral	neutral,neutral	positive,positive
2571	negative,negative	negative,negative	positive,negative
2572	neutral,neutral	neutral,neutral	neutral,neutral
2573	neutral,neutral	neutral,neutral	neutral,positive
2574	positive,neutral	positive,neutral	positive,positive
2575	negative,negative	positive,positive	neutral,negative
2576	positive,positive	positive,positive	neutral,positive
2577	neutral,neutral	neutral,neutral	positive,positive
2579	neutral,neutral	positive,neutral	positive,positive
2580	positive,negative	neutral,positive	positive,negative
2581	positive,positive	negative,positive	positive,positive
2582	neutral,neutral	neutral,neutral	neutral,neutral
2583	neutral,neutral	positive,positive	positive,positive
2584	positive,neutral	neutral,neutral	positive,positive
2585	neutral,neutral	positive,neutral	positive,positive
2586	positive,positive	positive,positive	neutral,neutral
2587	negative,positive	negative,neutral	neutral,negative
2588	neutral,neutral	negative,negative	positive,neutral
2589	positive,neutral	neutral,neutral	negative,neutral
2590	neutral,positive	negative,negative	negative,negative
2591	positive,positive	neutral,positive	positive,positive
2592	neutral,neutral	neutral,negative	neutral,neutral
2593	neutral,neutral	positive,neutral	neutral,neutral
2594	neutral,neutral	negative,neutral	neutral,neutral
2595	neutral,neutral	neutral,positive	neutral,neutral
2596	positive,positive	negative,neutral	positive,positive
2597	neutral,neutral	neutral,neutral	neutral,neutral
2598	negative,negative	negative,negative	negative,negative
2599	neutral,neutral	negative,negative	neutral,neutral
2600	neutral,neutral	neutral,neutral	neutral,neutral
2601	neutral,neutral	neutral,positive	neutral,neutral
2602	positive,positive	neutral,neutral	positive,positive
2603	neutral,neutral	positive,positive	neutral,neutral
2604	positive,positive	positive,positive	positive,positive
2605	positive,negative	neutral,neutral	negative,negative
2607	positive,neutral	negative,negative	positive,positive
2608	neutral,positive	negative,negative	negative,negative
2609	negative,negative	positive,neutral	neutral,neutral
2610	negative,neutral	neutral,negative	neutral,neutral
2611	neutral,neutral	neutral,neutral	neutral,positive
2612	neutral,neutral	positive,negative	neutral,neutral
2613	positive,positive	positive,positive	positive,negative
2614	positive,neutral	neutral,neutral	positive,positive
2615	neutral,positive	positive,positive	positive,positive
2616	positive,neutral	positive,positive	positive,neutral
2617	neutral,neutral	positive,positive	positive,negative
2618	negative,negative	negative,negative	negative,negative
2619	neutral,neutral	neutral,negative	neutral,neutral
2620	positive,positive	positive,neutral	positive,positive
2621	neutral,neutral	positive,positive	neutral,positive
2622	neutral,neutral	positive,neutral	neutral,neutral
2623	neutral,neutral	positive,positive	positive,neutral
2624	positive,positive	positive,neutral	positive,neutral
2625	neutral,negative	neutral,negative	neutral,neutral
2626	positive,neutral	neutral,negative	neutral,neutral
2627	neutral,neutral	positive,positive	neutral,neutral
2628	neutral,neutral	neutral,negative	neutral,neutral
2629	neutral,positive	negative,negative	positive,neutral
2630	positive,neutral	positive,neutral	positive,neutral
2631	neutral,neutral	neutral,neutral	neutral,neutral
2632	positive,negative	negative,neutral	neutral,positive
2633	neutral,neutral	negative,negative	neutral,neutral
2634	neutral,neutral	neutral,negative	neutral,negative
2635	neutral,neutral	neutral,negative	neutral,neutral
2636	negative,negative	neutral,neutral	positive,positive
2637	positive,neutral	neutral,neutral	neutral,positive
2638	positive,positive	positive,positive	positive,positive
2639	neutral,neutral	neutral,neutral	positive,positive
2640	neutral,negative	neutral,neutral	neutral,negative
2641	neutral,negative	neutral,neutral	positive,positive
2642	negative,neutral	neutral,positive	neutral,positive
2643	neutral,neutral	positive,positive	positive,positive
2644	negative,positive	negative,negative	neutral,neutral
2645	negative,negative	positive,neutral	neutral,neutral
2646	neutral,neutral	positive,neutral	neutral,neutral
2647	positive,positive	neutral,positive	positive,positive
2648	neutral,positive	neutral,positive	neutral,positive
2649	negative,negative	neutral,negative	negative,negative
2650	negative,negative	neutral,neutral	negative,negative
2651	neutral,positive	positive,positive	positive,positive
2652	neutral,neutral	neutral,neutral	neutral,neutral
2653	negative,negative	negative,negative	neutral,neutral
2654	neutral,neutral	neutral,neutral	neutral,neutral
2655	positive,positive	positive,positive	positive,positive
2656	positive,positive	positive,neutral	positive,positive
2657	negative,negative	positive,positive	positive,positive
2658	neutral,neutral	neutral,negative	neutral,neutral
2659	neutral,neutral	neutral,neutral	neutral,neutral
2660	negative,negative	positive,neutral	neutral,negative
2661	neutral,neutral	negative,negative	neutral,neutral
2662	neutral,negative	neutral,neutral	neutral,negative
2663	positive,positive	positive,positive	positive,positive
2664	negative,negative	negative,negative	negative,negative
2665	neutral,positive	negative,negative	positive,positive
2667	neutral,negative	neutral,positive	positive,positive
2668	neutral,neutral	negative,neutral	neutral,neutral
2669	positive,neutral	positive,positive	positive,positive
2670	positive,positive	neutral,neutral	neutral,positive
2671	negative,negative	neutral,neutral	neutral,negative
2672	positive,positive	neutral,positive	negative,positive
2673	neutral,neutral	negative,negative	neutral,neutral
2674	neutral,positive	neutral,positive	neutral,positive
2675	neutral,neutral	neutral,neutral	neutral,neutral
2676	negative,neutral	negative,neutral	negative,neutral
2677	neutral,neutral	neutral,positive	positive,positive
2678	neutral,neutral	negative,negative	neutral,negative
2679	positive,neutral	positive,neutral	neutral,neutral
2681	neutral,positive	neutral,neutral	neutral,positive
2682	negative,negative	neutral,neutral	negative,negative
2683	negative,negative	negative,negative	negative,negative
2684	positive,positive	negative,negative	neutral,neutral
2685	positive,negative	positive,negative	positive,negative
2686	positive,positive	neutral,positive	neutral,neutral
2687	positive,positive	positive,positive	positive,positive
2688	positive,positive	positive,positive	positive,positive
2689	negative,neutral	positive,positive	negative,negative
2691	neutral,neutral	neutral,neutral	negative,negative
2692	neutral,negative	neutral,neutral	neutral,negative
2693	neutral,neutral	negative,negative	neutral,neutral
2694	negative,neutral	negative,neutral	negative,neutral
2695	negative,negative	positive,neutral	positive,neutral
2696	neutral,negative	positive,negative	neutral,negative
2697	neutral,positive	negative,neutral	negative,neutral
2698	positive,positive	neutral,neutral	neutral,neutral
2699	positive,positive	neutral,neutral	positive,positive
2700	neutral,neutral	neutral,neutral	negative,neutral
2701	positive,positive	neutral,neutral	positive,positive
2702	neutral,negative	positive,positive	neutral,neutral
2703	neutral,neutral	neutral,positive	neutral,neutral
2704	positive,negative	positive,negative	neutral,negative
2705	neutral,neutral	positive,positive	neutral,negative
2706	negative,negative	negative,negative	negative,negative
2707	neutral,positive	neutral,neutral	neutral,neutral
2708	neutral,neutral	positive,positive	negative,neutral
2709	positive,positive	positive,neutral	positive,negative
2710	positive,negative	negative,negative	neutral,neutral
2711	neutral,neutral	positive,neutral	positive,positive
2712	neutral,positive	neutral,negative	neutral,positive
2713	negative,positive	negative,positive	negative,negative
2714	positive,positive	positive,positive	neutral,neutral
2715	neutral,neutral	neutral,neutral	neutral,neutral
2716	positive,neutral	positive,positive	positive,positive
2717	neutral,neutral	neutral,neutral	neutral,neutral
2718	negative,neutral	negative,neutral	neutral,negative
2719	negative,negative	negative,negative	neutral,neutral
2720	positive,positive	positive,positive	positive,positive
2721	neutral,neutral	positive,positive	neutral,neutral
2723	neutral,negative	neutral,neutral	negative,negative
2724	neutral,neutral	positive,positive	negative,negative
2725	neutral,neutral	neutral,neutral	neutral,neutral
2726	positive,positive	positive,positive	neutral,neutral
2727	positive,positive	positive,neutral	positive,positive
2728	neutral,neutral	neutral,positive	neutral,neutral
2729	neutral,neutral	neutral,neutral	neutral,neutral
2730	negative,negative	neutral,neutral	positive,neutral
2731	negative,neutral	negative,negative	neutral,negative
2732	neutral,negative	positive,positive	neutral,neutral
2733	negative,negative	neutral,neutral	neutral,neutral
2734	positive,positive	neutral,negative	neutral,negative
2735	neutral,neutral	negative,neutral	positive,positive
2737	neutral,neutral	neutral,neutral	neutral,negative
2738	neutral,positive	negative,neutral	neutral,neutral
2739	negative,positive	negative,negative	positive,positive
2740	positive,positive	negative,negative	positive,neutral
2741	neutral,neutral	neutral,positive	neutral,neutral
2742	negative,positive	negative,negative	negative,positive
2743	neutral,neutral	positive,positive	neutral,neutral
2744	positive,positive	positive,neutral	neutral,negative
2745	neutral,neutral	neutral,neutral	neutral,neutral
2746	positive,positive	negative,neutral	negative,negative
2747	neutral,neutral	neutral,neutral	negative,negative
2748	positive,positive	neutral,positive	neutral,neutral
2749	positive,neutral	positive,neutral	neutral,neutral
2750	neutral,negative	positive,neutral	positive,positive
2751	negative,negative	neutral,neutral	neutral,neutral
2752	neutral,negative	positive,positive	positive,positive
2753	negative,negative	negative,negative	negative,negative
2754	neutral,neutral	neutral,neutral	neutral,negative
2755	neutral,positive	neutral,neutral	neutral,negative
2756	neutral,neutral	negative,neutral	negative,negative
2757	positive,negative	neutral,neutral	neutral,neutral
2758	negative,negative	negative,negative	negative,negative
2759	positive,positive	positive,positive	neutral,neutral
2760	neutral,neutral	neutral,neutral	neutral,neutral
2761	negative,negative	positive,positive	positive,positive
2762	neutral,neutral	neutral,positive	negative,neutral
2763	neutral,neutral	neutral,neutral	neutral,positive
2764	positive,positive	neutral,neutral	neutral,neutral
2765	neutral,positive	neutral,positive	neutral,positive
2766	negative,negative	negative,negative	negative,negative
2767	neutral,negative	positive,neutral	negative,negative
2768	negative,negative	negative,negative	neutral,neutral
2769	positive,positive	positive,positive	positive,positive
2770	negative,negative	neutral,neutral	neutral,neutral
2771	positive,positive	positive,neutral	positive,positive
2772	neutral,positive	neutral,positive	positive,positive
2773	negative,negative	neutral,positive	neutral,neutral
2774	neutral,neutral	neutral,neutral	neutral,neutral
2775	positive,positive	positive,negative	positive,positive
2776	positive,negative	neutral,neutral	positive,positive
2777	neutral,neutral	positive,positive	positive,positive
2779	positive,positive	neutral,neutral	positive,positive
2780	neutral,positive	negative,negative	positive,positive
2781	negative,negative	negative,negative	negative,negative
2782	neutral,neutral	neutral,positive	positive,positive
2783	neutral,positive	neutral,positive	negative,negative
2784	neutral,neutral	neutral,negative	neutral,neutral
2785	positive,positive	neutral,neutral	neutral,positive
2786	neutral,neutral	neutral,neutral	neutral,negative
2787	neutral,neutral	neutral,neutral	neutral,neutral
2788	neutral,neutral	neutral,neutral	neutral,neutral
2789	neutral,neutral	neutral,neutral	negative,negative
2790	neutral,positive	neutral,positive	neutral,neutral
2791	neutral,neutral	neutral,positive	positive,positive
2792	positive,positive	positive,positive	neutral,neutral
2793	neutral,neutral	neutral,neutral	neutral,neutral
2794	neutral,positive	neutral,neutral	neutral,positive
2795	neutral,positive	positive,positive	neutral,positive
2796	neutral,neutral	neutral,neutral	neutral,neutral
2797	positive,negative	neutral,neutral	neutral,neutral
2798	neutral,neutral	neutral,neutral	neutral,neutral
2799	negative,negative	negative,negative	negative,negative
2800	neutral,negative	neutral,neutral	neutral,neutral
2801	neutral,neutral	positive,neutral	negative,negative
2802	negative,negative	negative,negative	negative,negative
2803	neutral,neutral	neutral,neutral	neutral,positive
2804	neutral,negative	neutral,negative	neutral,neutral
2805	neutral,neutral	neutral,negative	positive,positive
2806	positive,neutral	positive,neutral	positive,positive
2807	neutral,neutral	negative,positive	positive,positive
2808	negative,neutral	positive,positive	positive,positive
2809	negative,positive	neutral,neutral	neutral,neutral
2810	neutral,negative	neutral,neutral	neutral,negative
2811	neutral,neutral	positive,neutral	neutral,neutral
2812	positive,positive	neutral,neutral	neutral,neutral
2813	positive,neutral	neutral,neutral	positive,neutral
2814	neutral,neutral	neutral,neutral	positive,positive
2815	neutral,negative	neutral,negative	neutral,neutral
2816	neutral,neutral	neutral,neutral	positive,positive
2817	neutral,neutral	neutral,neutral	neutral,neutral
2818	positive,positive	neutral,neutral	neutral,negative
2819	positive,neutral	positive,negative	positive,positive
2820	positive,positive	positive,positive	positive,positive
2821	negative,negative	negative,neutral	negative,negative
2822	neutral,neutral	negative,neutral	neutral,negative
2823	neutral,positive	positive,neutral	neutral,neutral
2824	positive,positive	positive,positive	positive,positive
2825	positive,neutral	positive,neutral	positive,neutral
2826	neutral,negative	neutral,negative	neutral,neutral
2827	positive,positive	positive,positive	neutral,neutral
2828	neutral,negative	negative,negative	neutral,neutral
2829	positive,neutral	neutral,neutral	positive,neutral
2830	positive,positive	positive,positive	neutral,neutral
2831	positive,positive	positive,positive	positive,positive
2832	neutral,neutral	positive,positive	neutral,neutral
2833	positive,positive	positive,positive	positive,positive
2834	neutral,neutral	neutral,neutral	neutral,neutral
2835	positive,positive	neutral,neutral	neutral,negative
2836	negative,negative	neutral,negative	neutral,positive
2837	neutral,neutral	neutral,neutral	neutral,neutral
2838	positive,positive	positive,positive	neutral,neutral
2839	negative,negative	negative,negative	neutral,positive
2840	negative,negative	neutral,neutral	positive,positive
2841	positive,positive	positive,positive	neutral,neutral
2842	neutral,positive	positive,positive	positive,positive
2843	negative,negative	negative,negative	neutral,positive
2844	positive,positive	positive,positive	neutral,neutral
2845	negative,negative	negative,neutral	neutral,neutral
2846	negative,positive	negative,negative	negative,negative
2847	positive,positive	neutral,neutral	positive,positive
2848	neutral,neutral	positive,positive	neutral,neutral
2849	neutral,neutral	neutral,neutral	neutral,neutral
2850	neutral,neutral	neutral,neutral	positive,positive
2851	negative,negative	positive,neutral	neutral,neutral
2852	positive,positive	positive,positive	neutral,positive
2853	negative,negative	neutral,neutral	positive,neutral
2854	neutral,neutral	positive,neutral	neutral,neutral
2855	neutral,neutral	positive,positive	neutral,neutral
2856	negative,neutral	negative,neutral	neutral,neutral
2857	neutral,positive	negative,negative	positive,positive
2858	positive,positive	positive,neutral	neutral,neutral
2859	neutral,positive	negative,negative	neutral,positive
2860	neutral,neutral	neutral,neutral	negative,positive
2861	neutral,negative	positive,positive	neutral,neutral
2862	neutral,neutral	positive,positive	neutral,neutral
2863	neutral,neutral	neutral,positive	neutral,neutral
2864	positive,positive	neutral,neutral	neutral,neutral
2865	neutral,neutral	positive,positive	neutral,negative
2866	neutral,neutral	neutral,neutral	positive,positive
2867	negative,neutral	neutral,neutral	neutral,negative
2868	positive,positive	negative,negative	neutral,positive
2870	positive,positive	neutral,neutral	positive,neutral
2871	neutral,neutral	negative,neutral	negative,neutral
2872	neutral,neutral	positive,positive	positive,positive
2873	positive,positive	neutral,positive	positive,positive
2874	positive,positive	positive,positive	negative,negative
2875	neutral,neutral	neutral,neutral	neutral,neutral
2876	negative,negative	neutral,neutral	positive,neutral
2877	neutral,positive	neutral,neutral	neutral,positive
2878	positive,positive	positive,positive	positive,positive
2879	negative,positive	positive,positive	positive,positive
2880	negative,neutral	negative,positive	negative,negative
2881	neutral,neutral	positive,positive	neutral,neutral
2882	positive,positive	positive,positive	positive,positive
2884	negative,negative	negative,negative	neutral,neutral
2885	neutral,neutral	neutral,neutral	neutral,neutral
2886	positive,positive	positive,positive	neutral,neutral
2888	neutral,positive	positive,positive	neutral,neutral
2889	neutral,positive	neutral,positive	neutral,neutral
2890	neutral,positive	positive,positive	neutral,positive
2891	positive,positive	neutral,neutral	neutral,negative
2892	positive,positive	positive,positive	positive,neutral
2893	positive,negative	negative,negative	positive,neutral
2894	neutral,neutral	negative,negative	neutral,positive
2895	positive,positive	positive,positive	positive,positive
2896	neutral,neutral	negative,negative	positive,positive
2897	positive,positive	neutral,neutral	neutral,neutral
2898	negative,neutral	neutral,neutral	neutral,neutral
2899	positive,positive	negative,negative	negative,negative
2900	neutral,negative	positive,neutral	neutral,neutral
2901	neutral,neutral	neutral,neutral	neutral,neutral
2902	neutral,neutral	neutral,negative	negative,negative
2903	neutral,positive	neutral,positive	neutral,neutral
2904	neutral,positive	positive,negative	positive,positive
2905	neutral,neutral	neutral,positive	neutral,positive
2906	positive,positive	negative,negative	positive,positive
2907	neutral,positive	negative,negative	positive,neutral
2908	negative,negative	negative,negative	negative,negative
2909	positive,positive	neutral,neutral	neutral,neutral
2910	neutral,neutral	positive,positive	positive,positive
2911	neutral,neutral	neutral,neutral	neutral,negative
2912	positive,negative	neutral,neutral	positive,neutral
2913	negative,negative	negative,negative	neutral,neutral
2914	negative,negative	negative,negative	negative,negative
2915	negative,negative	neutral,neutral	neutral,neutral
2916	positive,positive	neutral,neutral	neutral,neutral
2917	positive,neutral	neutral,neutral	positive,neutral
2918	positive,positive	neutral,neutral	neutral,neutral
2919	positive,negative	negative,neutral	positive,positive
2920	positive,negative	positive,positive	positive,positive
2921	positive,positive	negative,negative	neutral,neutral
2922	negative,negative	neutral,neutral	positive,positive
2923	negative,negative	negative,negative	negative,negative
2924	neutral,neutral	positive,positive	positive,positive
2925	negative,negative	negative,negative	neutral,neutral
2928	positive,positive	neutral,neutral	neutral,neutral
2929	neutral,neutral	neutral,neutral	neutral,neutral
2930	neutral,neutral	neutral,negative	positive,positive
2931	neutral,negative	neutral,neutral	negative,negative
2932	positive,negative	negative,negative	neutral,negative
2933	neutral,negative	neutral,negative	neutral,neutral
2934	negative,negative	neutral,neutral	positive,positive
2935	negative,negative	neutral,neutral	positive,neutral
2936	neutral,negative	negative,negative	neutral,positive
2937	neutral,positive	neutral,neutral	neutral,positive
2938	positive,positive	positive,positive	positive,positive
2939	positive,neutral	neutral,neutral	positive,positive
2940	neutral,neutral	neutral,neutral	negative,negative
2941	neutral,neutral	neutral,neutral	neutral,positive
2942	positive,positive	negative,negative	negative,negative
2943	neutral,neutral	neutral,negative	neutral,neutral
2944	neutral,neutral	neutral,neutral	neutral,neutral
2945	neutral,neutral	neutral,neutral	positive,neutral
2946	neutral,negative	neutral,neutral	positive,positive
2947	positive,negative	positive,negative	neutral,neutral
2948	neutral,neutral	neutral,neutral	negative,negative
2949	neutral,neutral	neutral,neutral	neutral,neutral
2950	neutral,neutral	positive,neutral	negative,neutral
2951	neutral,neutral	neutral,neutral	neutral,positive
2952	neutral,neutral	neutral,neutral	negative,negative
2953	positive,neutral	neutral,positive	negative,negative
2955	neutral,neutral	positive,positive	positive,positive
2956	positive,positive	positive,neutral	positive,positive
2957	positive,positive	neutral,neutral	positive,neutral
2958	neutral,neutral	neutral,neutral	neutral,neutral
2960	neutral,neutral	neutral,negative	negative,negative
2961	neutral,negative	neutral,neutral	neutral,neutral
2962	neutral,neutral	neutral,neutral	negative,neutral
2963	neutral,negative	positive,neutral	positive,negative
2964	negative,negative	negative,negative	negative,negative
2965	neutral,neutral	neutral,neutral	neutral,neutral
2966	negative,positive	neutral,positive	neutral,neutral
2967	positive,positive	positive,positive	neutral,neutral
2968	positive,neutral	positive,neutral	neutral,neutral
2969	negative,neutral	neutral,neutral	negative,negative
2970	neutral,neutral	neutral,neutral	positive,positive
2971	neutral,positive	neutral,positive	neutral,neutral
2972	neutral,neutral	neutral,neutral	neutral,neutral
2974	neutral,neutral	neutral,neutral	negative,neutral
2975	positive,positive	positive,positive	neutral,positive
2976	negative,negative	neutral,neutral	neutral,neutral
2977	neutral,neutral	neutral,positive	neutral,neutral
2978	neutral,positive	neutral,positive	neutral,neutral
2979	neutral,positive	positive,positive	positive,positive
2980	positive,positive	neutral,neutral	positive,positive
2981	neutral,positive	neutral,neutral	positive,positive
2982	positive,positive	neutral,neutral	neutral,neutral
2983	neutral,positive	positive,neutral	positive,neutral
2984	neutral,positive	positive,positive	neutral,positive
2985	neutral,neutral	positive,positive	positive,positive
2986	neutral,neutral	neutral,negative	neutral,neutral
2987	negative,negative	negative,negative	neutral,neutral
2988	neutral,neutral	neutral,neutral	neutral,neutral
2989	neutral,neutral	negative,positive	positive,positive
2990	neutral,neutral	negative,negative	negative,negative
2991	positive,positive	positive,positive	neutral,neutral
2992	neutral,neutral	neutral,neutral	positive,positive
2993	neutral,negative	negative,negative	neutral,negative
2994	positive,positive	positive,positive	neutral,neutral
2995	positive,negative	neutral,neutral	neutral,neutral
2996	neutral,neutral	positive,positive	neutral,neutral
2997	neutral,negative	neutral,neutral	positive,positive
2998	neutral,neutral	negative,neutral	negative,negative
2999	neutral,negative	positive,negative	neutral,neutral
3000	neutral,positive	positive,neutral	positive,neutral
3001	positive,positive	positive,neutral	positive,positive
3002	neutral,neutral	positive,neutral	positive,positive
3003	negative,negative	negative,negative	neutral,neutral
3004	positive,positive	neutral,positive	positive,positive
3005	positive,positive	positive,positive	neutral,positive
3006	negative,negative	negative,negative	negative,negative
3007	neutral,neutral	neutral,neutral	neutral,neutral
3008	positive,positive	negative,negative	positive,neutral
3009	positive,negative	positive,positive	positive,negative
3010	neutral,neutral	neutral,neutral	positive,positive
3011	negative,negative	positive,positive	negative,neutral
3012	neutral,neutral	neutral,neutral	positive,negative
3013	positive,positive	positive,positive	positive,positive
3014	positive,positive	positive,positive	positive,positive
3015	positive,positive	positive,positive	positive,positive
3016	neutral,neutral	neutral,neutral	positive,positive
3018	neutral,negative	negative,negative	neutral,neutral
3020	neutral,neutral	neutral,neutral	neutral,positive
3021	positive,positive	positive,neutral	neutral,positive
3022	neutral,neutral	positive,positive	positive,positive
3023	neutral,neutral	neutral,neutral	neutral,neutral
3024	positive,positive	positive,positive	negative,neutral
3025	neutral,negative	neutral,negative	neutral,neutral
3026	neutral,negative	negative,negative	negative,negative
3027	positive,positive	positive,neutral	positive,positive
3028	neutral,positive	neutral,neutral	neutral,positive
3029	positive,positive	neutral,neutral	positive,positive
3030	negative,negative	positive,neutral	neutral,neutral
3031	positive,neutral	neutral,neutral	neutral,neutral
3032	positive,positive	neutral,neutral	neutral,neutral
3033	positive,positive	positive,positive	positive,positive
3034	neutral,neutral	negative,neutral	negative,neutral
3035	positive,neutral	positive,neutral	positive,positive
3036	neutral,neutral	neutral,neutral	neutral,neutral
3037	neutral,neutral	neutral,neutral	neutral,neutral
3038	positive,positive	positive,positive	positive,positive
3039	negative,neutral	negative,neutral	neutral,neutral
3040	positive,negative	positive,neutral	positive,negative
3041	neutral,neutral	neutral,neutral	neutral,neutral
3042	negative,positive	neutral,neutral	neutral,neutral
3043	positive,positive	neutral,neutral	neutral,neutral
3044	neutral,negative	negative,negative	neutral,negative
3045	positive,positive	neutral,neutral	negative,negative
3046	positive,positive	positive,positive	positive,positive
3047	neutral,neutral	neutral,neutral	negative,neutral
3048	positive,positive	negative,negative	neutral,neutral
3049	neutral,neutral	neutral,neutral	neutral,neutral
3050	neutral,neutral	positive,positive	negative,neutral
3051	positive,negative	neutral,negative	positive,negative
3052	neutral,neutral	negative,negative	negative,negative
3053	neutral,neutral	positive,positive	positive,positive
3054	negative,negative	negative,negative	negative,negative
3055	positive,positive	neutral,neutral	positive,positive
3057	neutral,neutral	neutral,neutral	neutral,neutral
3058	positive,positive	negative,positive	neutral,positive
3059	neutral,negative	positive,negative	negative,negative
3060	negative,negative	neutral,neutral	negative,neutral
3061	neutral,neutral	negative,negative	negative,neutral
3062	neutral,neutral	neutral,neutral	positive,positive
3063	positive,negative	neutral,negative	neutral,negative
3064	positive,positive	positive,positive	positive,positive
3065	negative,negative	neutral,neutral	positive,neutral
3066	negative,positive	positive,positive	negative,neutral
3067	positive,positive	positive,positive	neutral,neutral
3068	neutral,neutral	negative,negative	negative,negative
3070	neutral,neutral	neutral,positive	neutral,neutral
3071	neutral,neutral	positive,neutral	negative,negative
3072	negative,negative	negative,negative	neutral,neutral
3073	negative,positive	negative,positive	neutral,neutral
3074	positive,neutral	positive,neutral	neutral,neutral
3075	positive,positive	neutral,neutral	positive,positive
3076	positive,positive	positive,positive	positive,positive
3077	neutral,neutral	neutral,neutral	neutral,positive
3079	positive,positive	neutral,neutral	positive,positive
3080	neutral,neutral	positive,positive	neutral,neutral
3081	neutral,negative	neutral,negative	negative,negative
3082	positive,positive	negative,negative	negative,negative
3083	neutral,neutral	neutral,neutral	neutral,neutral
3084	neutral,neutral	neutral,neutral	neutral,neutral
3085	negative,positive	negative,negative	negative,neutral
3086	positive,neutral	neutral,neutral	positive,neutral
3087	neutral,neutral	positive,positive	positive,positive
3088	neutral,neutral	negative,negative	neutral,negative
3089	negative,negative	positive,neutral	negative,negative
3090	negative,negative	negative,negative	negative,negative
3091	positive,positive	positive,positive	positive,positive
3092	positive,negative	neutral,negative	positive,negative
3093	positive,positive	positive,neutral	neutral,neutral
3094	positive,positive	negative,negative	neutral,neutral
3095	neutral,neutral	positive,neutral	positive,positive
3096	positive,neutral	positive,neutral	neutral,neutral
3097	negative,negative	neutral,neutral	positive,neutral
3098	neutral,neutral	neutral,neutral	neutral,neutral
3099	neutral,neutral	neutral,neutral	neutral,neutral
3100	positive,positive	positive,positive	positive,positive
3101	negative,negative	neutral,positive	negative,negative
3102	neutral,negative	neutral,neutral	neutral,neutral
3104	neutral,neutral	neutral,positive	neutral,neutral
3105	negative,neutral	neutral,neutral	neutral,neutral
3106	positive,positive	positive,positive	positive,positive
3107	neutral,negative	neutral,neutral	neutral,negative
3108	negative,negative	positive,negative	positive,positive
3109	negative,negative	neutral,neutral	negative,negative
3110	neutral,neutral	neutral,negative	positive,positive
